gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
buffer,0.5,0.3,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.3,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.3,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.3,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.3,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.4,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.4,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.4,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.4,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.4,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.4,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.4,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.5,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.5,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.5,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.5,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.5,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.5,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.5,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.6,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.6,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.6,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.6,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.6,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.6,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.6,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.7,300,3.415357e-12,3.590568e-12,1.61233e-11
